rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,39921,39802,40000,40197,40000,39763,40039,Tool Grip
39723,39525,39763,39407,39249,38142,38616,39525,Tool Grip
39605,39605,39565,39328,39091,35533,37549,39446,Tool Grip
39486,39644,39446,39446,39249,32648,37035,39446,Tool Grip
39644,39605,39486,39446,39486,35296,39051,39684,Tool Grip
39842,39763,39565,39644,40118,40948,41107,39960,Tool Grip
40079,40000,39723,40118,40988,45059,42292,40435,Tool Grip
40118,40079,39881,40276,41146,46205,42450,40632,Tool Grip
39842,40079,39960,40237,40553,45375,41699,40276,Tool Grip
39644,40079,39881,39960,39842,43122,40435,39802,Tool Grip
39763,40000,39684,39565,39328,41146,39525,39446,Tool Grip
39802,39960,39565,39486,39249,39802,39249,39367,Tool Grip
39723,40118,39644,39763,39881,39170,39209,39684,Tool Grip
39644,40237,39763,39960,40316,39565,39605,39921,Tool Grip
39644,40356,39960,39921,40158,39565,39446,39842,Tool Grip
39644,40276,40079,39881,40000,39051,39170,39763,Tool Grip
39644,40000,40158,39723,39525,39407,39881,39763,Tool Grip
39684,39684,40000,39605,39288,41067,40237,39881,Tool Grip
39367,39367,39684,39565,39209,40751,39446,39684,Tool Grip
39209,39446,39407,39644,39486,37549,38024,39525,Tool Grip
39723,39881,39802,39802,40158,36008,38142,39802,Tool Grip
40197,40118,40118,39763,40158,35771,38379,39921,Tool Grip
40316,40316,40276,39842,40000,36522,38419,40000,Tool Grip
40237,40079,40158,39763,39644,36956,38933,39921,Tool Grip
40039,39881,39960,39605,39446,39130,40237,39842,Tool Grip
39802,39723,39763,39486,38893,41107,40632,39565,Tool Grip
39684,39684,39684,39328,38735,41462,40316,39446,Tool Grip
39842,39960,39921,39525,39288,41620,40118,39644,Tool Grip
39921,40197,39960,39802,40039,41778,40079,39881,Tool Grip
39960,40276,40039,40000,40553,42095,40316,40197,Tool Grip
39842,40197,40158,40158,40751,41858,40435,40316,Tool Grip
39605,40000,40079,40000,40316,40435,39842,39960,Tool Grip
39486,39921,39842,39802,39802,39288,39486,39565,Tool Grip
39525,39921,39763,39763,39723,39249,39486,39644,Tool Grip
39684,40118,39605,39802,40118,39525,39446,39921,Tool Grip
39684,40237,39565,40000,40514,39921,39644,39921,Tool Grip
39644,40158,39842,40039,40435,40514,39881,39802,Tool Grip
39723,39960,40000,39842,39960,40830,39881,39723,Tool Grip
39684,39763,39842,39684,39486,40039,39525,39644,Tool Grip
39446,39644,39565,39446,39249,39130,39288,39565,Tool Grip
39525,39605,39565,39407,39209,38972,39170,39525,Tool Grip
39644,39644,39881,39605,39525,39012,38774,39723,Tool Grip
39684,39763,39881,39802,39881,37944,38735,39763,Tool Grip
39763,39960,40000,39921,39921,38972,40079,39960,Tool Grip
39921,40118,40158,39960,40000,40948,41067,40118,Tool Grip
39881,40000,40158,39921,40039,41858,40632,40000,Tool Grip
39723,39802,40039,39763,39763,41027,39723,39723,Tool Grip
39802,39684,40000,39565,39644,40356,39644,39842,Tool Grip
39763,39684,39921,39684,39881,39644,39605,39921,Tool Grip
39565,39644,40118,39842,40079,37035,38774,39881,Tool Grip
39525,39723,40435,40000,40039,34031,37905,39921,Tool Grip
39446,39763,40316,40000,39960,34387,39723,40039,Tool Grip
39684,39802,39921,39723,39525,37865,41502,40039,Tool Grip
40000,39842,39644,39565,39723,43320,41778,39960,Tool Grip
40000,39802,39565,39644,39960,47589,40909,39802,Tool Grip
39644,39881,39407,39842,40276,48696,40395,39644,Tool Grip
39367,39802,39288,39802,40276,46838,40395,39407,Tool Grip
39367,39644,39446,39486,39605,43992,40316,39249,Tool Grip
39644,39802,39763,39446,39446,39288,39644,39565,Tool Grip
39881,39960,40039,39605,39446,35138,38498,39723,Tool Grip
39921,39960,40158,39802,39407,35178,37865,39723,Tool Grip
39921,39842,40000,40000,39565,35850,37707,39881,Tool Grip
40118,39921,40039,40000,39802,35691,37549,40237,Tool Grip
40158,40000,40276,39960,39881,35494,38458,40514,Tool Grip
39921,39802,40197,39802,39723,36205,39367,40079,Tool Grip
39605,39802,40158,39605,39486,38656,40000,39565,Tool Grip
39486,39921,40237,39486,39644,41225,40790,39446,Tool Grip
39644,39802,40276,39605,40000,42885,41027,39684,Tool Grip
39684,39763,40356,39802,40237,42885,40988,39921,Tool Grip
39644,39802,40395,39960,40276,41541,40514,39842,Tool Grip
39644,39921,40158,40197,40356,40632,40079,39881,Tool Grip
39723,40079,39644,40316,40632,40632,40197,40079,Tool Grip
39723,40079,39012,39960,40474,40276,40158,40237,Tool Grip
39802,39842,38577,39605,39960,39605,39684,40079,Tool Grip
39802,39763,38774,39605,39763,39565,39486,39881,Tool Grip
39605,39723,38972,39684,39644,38893,39012,39605,Tool Grip
39684,39644,39130,39644,39367,38379,38774,39446,Tool Grip
39723,39644,39209,39605,39407,38893,38735,39486,Tool Grip
39605,39486,39367,39565,39525,39367,38933,39486,Tool Grip
39723,39446,39763,39565,39525,39684,39091,39565,Tool Grip
39842,39723,40435,39723,39644,39802,39249,39723,Tool Grip
39842,40435,40869,39763,39684,39881,39367,39802,Tool Grip
39842,40830,40830,39684,39684,39249,39209,39763,Tool Grip
39921,40672,40672,39723,39644,38498,39012,39881,Tool Grip
39842,40276,40316,39802,39684,38498,39288,40000,Tool Grip
39684,39881,39960,39921,39763,38774,39723,39960,Tool Grip
39525,39565,39723,39921,40039,39091,40039,39881,Tool Grip
39486,39367,39565,39921,40276,39288,40000,39802,Tool Grip
39644,39249,39565,39723,39960,39288,39881,39644,Tool Grip
39881,39209,39684,39446,39407,40039,40197,39525,Tool Grip
40039,39328,39842,39446,39328,42134,41146,39881,Tool Grip
40000,39486,39802,39802,39960,46443,43004,40395,Tool Grip
39881,39565,39763,40039,40553,48340,43083,40553,Tool Grip
39921,39763,39684,40000,40316,46601,41344,40197,Tool Grip
39842,40039,39723,39921,40276,42767,39921,40039,Tool Grip
39763,40356,40039,39723,40158,38577,38972,39881,Tool Grip
39842,40751,40593,39644,39960,36838,38024,39723,Tool Grip
39763,40909,40276,39723,39684,33083,36008,39525,Tool Grip
39367,40632,39644,39723,39367,27272,34348,39209,Tool Grip
39091,40316,39288,39763,39328,28023,36126,39012,Tool Grip
39249,40237,39249,39802,39328,35336,39209,39130,Tool Grip
39842,40039,39486,39802,39842,43992,42055,40079,Tool Grip
40118,39525,39407,39684,40118,48379,42964,40553,Tool Grip
40079,39130,39209,39446,39842,49565,42490,40395,Tool Grip
40079,39209,39367,39486,40079,49288,42055,40316,Tool Grip
39881,39328,39644,39644,40276,46245,41462,40158,Tool Grip
39486,39130,39684,39842,40435,42767,40830,40158,Tool Grip
38774,39091,39763,40039,40395,40356,39842,39605,Tool Grip
38577,39328,40000,40039,40118,37984,38656,38814,Tool Grip
39091,39605,40079,39842,39605,33715,37193,38537,Tool Grip
39525,39881,40118,39644,39051,29209,35691,38537,Tool Grip
39802,40276,40356,39960,39367,30316,37273,39328,Tool Grip
40079,40474,40593,40000,39525,36087,39723,40158,Tool Grip
40237,40395,40514,39921,39723,41739,40869,40632,Tool Grip
40316,40395,40514,39921,40079,44466,41186,40751,Tool Grip
40356,40395,40356,39842,40316,44585,41265,40711,Tool Grip
40316,40553,40197,39842,40356,43478,40869,40514,Tool Grip
40079,40593,40118,39881,40435,41699,40000,40276,Tool Grip
39723,39921,39802,39842,40276,39921,39328,40039,Tool Grip
39288,39288,39407,39802,39960,39051,39091,39605,Tool Grip
38972,38854,39170,39684,39565,38893,39051,39130,Tool Grip
38972,38498,39012,39605,39525,38537,38695,39051,Tool Grip
39209,38616,39051,39684,39565,36798,38142,39249,Tool Grip
39209,38814,39130,39644,39367,35257,38221,39288,Tool Grip
39288,38774,39288,39605,39130,36996,39209,39209,Tool Grip
39605,38695,39644,39525,39170,40474,40197,39407,Tool Grip
39802,39170,39842,39644,39249,42688,40435,39723,Tool Grip
40000,39802,39842,39842,39486,42016,40000,39960,Tool Grip
40000,40237,39802,39960,39842,39644,39525,40118,Tool Grip
40039,40435,40039,39960,39960,38498,39407,40000,Tool Grip
39960,40553,40197,39802,40039,39051,39644,39881,Tool Grip
39960,40751,40197,39684,39960,39802,39881,39921,Tool Grip
39921,40632,40039,39644,39802,39763,39881,39763,Tool Grip
39802,40395,39881,39644,39684,39407,39723,39684,Tool Grip
39763,40276,39802,39644,39684,39130,39525,39802,Tool Grip
39842,40276,39842,39763,40000,39842,39881,40118,Tool Grip
39842,40435,39881,39960,40276,41027,40395,40553,Tool Grip
39763,40553,39802,39960,40316,41620,40474,40553,Tool Grip
39723,40514,39723,39960,40276,42055,40474,39960,Tool Grip
39802,40276,39684,39802,40158,42371,40632,39367,Tool Grip
39921,40039,39684,39763,39881,42213,40632,39367,Tool Grip
39802,39842,39842,39486,39407,41344,40000,39446,Tool Grip
39763,39723,40039,39486,39249,39842,39091,39605,Tool Grip
39684,39644,40158,39763,39565,38261,38419,39763,Tool Grip
39525,39486,40118,39644,39644,36640,38024,39684,Tool Grip
39407,39288,40079,39446,39328,34150,37431,39565,Tool Grip
39486,39249,40158,39525,39249,34348,37905,39644,Tool Grip
39723,39486,40118,40000,40197,36482,39130,40197,Tool Grip
39842,39723,39960,40197,40869,39763,40514,40474,Tool Grip
39881,40118,40000,40276,40988,42767,41383,40514,Tool Grip
39842,40514,39960,40276,40830,44427,41344,40237,Tool Grip
39802,40553,39644,39842,40000,43557,40593,39723,Tool Grip
39921,40435,39288,39525,39565,42885,40316,39565,Tool Grip
39802,40395,39249,39684,39644,42925,40395,39486,Tool Grip
39644,40197,39249,39565,39249,41937,39881,39209,Tool Grip
39684,40118,39170,39288,38774,39407,39486,39249,Tool Grip
39684,40118,39328,39209,38972,37668,39486,39723,Tool Grip
39842,40158,39763,39367,39407,37747,39525,40000,Tool Grip
40000,40276,40158,39644,40000,38695,39684,40276,Tool Grip
40000,40435,40356,40000,40276,39486,39921,40316,Tool Grip
39842,40632,40514,40158,40593,40830,40711,40356,Tool Grip
39802,40514,40474,40039,40632,41344,40869,40079,Tool Grip
39644,40000,40079,39842,40276,41383,40356,39644,Tool Grip
39525,39763,39684,39802,40197,41620,40000,39525,Tool Grip
39486,39723,39842,39960,40316,42292,39763,39644,Tool Grip
39644,39605,40632,40000,39921,42450,39170,39763,Tool Grip
39842,39525,41027,40000,39605,40593,38063,39684,Tool Grip
39723,39328,40830,39881,38972,36126,37154,39288,Tool Grip
39565,39091,40435,39486,38537,33755,37668,39170,Tool Grip
39605,38972,40197,39407,38735,33715,38261,39684,Tool Grip
39644,38972,39842,39486,39407,35889,38893,40079,Tool Grip
39763,39012,39328,39565,39921,38261,39605,40039,Tool Grip
39763,39051,38854,39723,40356,39130,39921,39684,Tool Grip
39802,39328,38735,39921,40553,39644,40435,39881,Tool Grip
39960,39763,38814,40079,40553,40869,40948,40118,Tool Grip
39881,40039,38893,40039,40356,41778,40909,40039,Tool Grip
39684,40039,38972,39960,40118,42450,40790,39921,Tool Grip
39446,39881,39051,39763,39802,42529,40395,39684,Tool Grip
39328,39723,39288,39486,39367,41976,40039,39446,Tool Grip
39446,39921,39644,39565,39407,41581,39960,39605,Tool Grip
39644,40158,40237,39684,39763,41344,39960,39842,Tool Grip
39921,40237,40751,39684,39802,40356,39605,39921,Tool Grip
